"Trial","Human","RNN","Bio"
1,0,0.742208361625671,0.669526054112807
2,1,0.303402364253998,0.332238273415291
3,1,0.818838894367218,0.778602810993079
4,0,0.285188287496567,0.381501207025284
5,0,0.26678341627121,0.300942736935544
6,1,0.270747870206833,0.272446691282303
7,1,0.794356346130371,0.765177542744312
8,0,0.407450705766678,0.493183772646175
9,0,0.182972490787506,0.265653330047816
10,0,0.147761806845665,0.113672727209017
11,0,0.113789960741997,0.120592519659803
12,0,0.192641347646713,0.256563831491821
13,0,0.131830602884293,0.136148443136844
14,1,0.573674440383911,0.406544291911028
15,0,0.269547790288925,0.186121087387248
16,1,0.793336510658264,0.801572478965133
17,0,0.842799603939056,0.693926992736333
18,1,0.381282716989517,0.362514977068431
19,1,0.269630819559097,0.244615264777343
20,0,0.649878799915314,0.84781132845838
21,1,0.816731929779053,0.797769715548677
22,0,0.277847111225128,0.429351989461408
23,0,0.791524946689606,0.801165245804956
24,1,0.229155540466309,0.195478463644673
25,1,0.704521000385284,0.619418412619411
26,0,0.293910920619965,0.403235859200077
27,0,0.173643499612808,0.180776765386533
28,0,0.16415311396122,0.139966129413045
29,1,0.769932866096497,0.720351473834754
30,1,0.830633521080017,0.666236232128945
31,0,0.378673553466797,0.537987578656836
32,1,0.774562776088715,0.717279190546907
33,1,0.830261468887329,0.811061933783484
34,0,0.299326568841934,0.362949201569152
35,0,0.165768906474113,0.165508013049129
36,0,0.120864607393742,0.140271628819158
37,1,0.829416632652283,0.795385459811278
38,0,0.813000917434692,0.734557539503303
39,1,0.827719748020172,0.804614612846625
40,0,0.915325164794922,0.924748795359997
41,0,0.361011385917664,0.404894135064893
42,1,0.304082274436951,0.288704747211046
43,1,0.662654280662537,0.631047891555287
44,0,0.214923173189163,0.238710807385794
45,0,0.17310805618763,0.189294706939006
46,0,0.134115889668465,0.148601357900028
47,1,0.616978168487549,0.762481647452022
48,1,0.844601213932037,0.842828002542225
49,1,0.853792190551758,0.826645318627686
50,1,0.285052388906479,0.223673270717763
51,1,0.783342182636261,0.671625304349118
52,0,0.248264580965042,0.427011413720472
53,0,0.180524691939354,0.164410520566402
54,1,0.166127577424049,0.129839084383345
55,1,0.715275049209595,0.64756385800379
56,0,0.267703384160995,0.131224257465733
57,0,0.192625656723976,0.200244639318917
58,1,0.799811124801636,0.659174041343562
59,0,0.226524159312248,0.227057369030671
60,1,0.224661856889725,0.173305608200601
