"id","m_type","target_type","memory_type","golgi_type","lr_type","gen_elpd","dist_elpd"
1,1,4,2,2,2,NA,NA
2,1,1,2,2,1,NA,NA
3,1,4,1,1,3,NA,NA
4,1,2,2,1,1,NA,NA
5,3,4,1,1,2,NA,NA
6,5,2,2,1,2,NA,NA
7,3,3,2,1,2,NA,NA
8,3,4,1,1,2,NA,NA
9,1,3,2,1,3,NA,NA
10,5,1,1,2,3,NA,NA
11,4,1,2,1,2,NA,NA
12,5,2,1,2,1,NA,NA
13,4,2,2,2,2,NA,NA
14,5,2,1,1,1,NA,NA
15,1,2,2,2,2,NA,NA
16,1,2,2,2,1,NA,NA
17,3,4,1,1,1,NA,NA
18,5,3,1,1,1,NA,NA
19,3,2,1,2,3,NA,NA
20,3,1,2,1,2,NA,NA
21,4,2,1,2,2,NA,NA
22,4,3,2,1,2,NA,NA
23,1,2,2,2,1,NA,NA
24,1,2,2,2,1,NA,NA
25,4,2,2,1,3,NA,NA
26,5,4,1,2,2,NA,NA
27,1,1,1,1,2,NA,NA
28,4,1,2,2,3,NA,NA
29,1,1,1,2,3,NA,NA
30,1,3,1,2,1,NA,NA
31,5,4,1,2,3,NA,NA
32,3,1,2,2,2,NA,NA
33,5,2,1,2,1,NA,NA
34,5,1,1,1,3,NA,NA
35,4,1,2,2,3,NA,NA
36,3,4,2,2,2,NA,NA
37,1,4,2,2,3,NA,NA
38,3,1,1,1,1,NA,NA
39,5,3,1,2,1,NA,NA
40,3,3,2,2,1,NA,NA
41,4,1,1,1,2,NA,NA
42,4,4,1,2,1,NA,NA
43,3,1,2,2,3,NA,NA
44,3,4,1,2,2,NA,NA
45,5,4,1,2,3,NA,NA
46,5,2,1,2,1,NA,NA
47,5,1,2,1,1,NA,NA
48,3,4,2,1,1,NA,NA
49,3,2,1,2,1,NA,NA
50,1,2,2,2,1,NA,NA
