"Subject","Model","L_max","Kappa"
1,"Distilled",2.92515543966769,3.74903530498694
1,"Empirical",1.60685805213124,1.9227307641999
2,"Distilled",2.03054077864469,2.45187047068461
2,"Empirical",1.67120447911395,2.11780202507369
3,"Distilled",2.42301838410388,2.88696604205761
3,"Empirical",1.48570831105647,1.69833328196787
4,"Distilled",1.87492986714256,2.31166472263072
4,"Empirical",1.27514098309969,1.57717184051844
5,"Distilled",2.81199775405593,3.37265568563558
5,"Empirical",1.93805227260071,2.2146038760298
6,"Distilled",1.62357488287181,2.02182815203531
6,"Empirical",112.757889275489,138.949010976664
7,"Distilled",2.12125852437388,2.58046533555471
7,"Empirical",1.33188756619461,1.78030832398534
8,"Distilled",1.2985553719871,1.59936391723309
8,"Empirical",1.39497365438225,1.67390092172732
9,"Distilled",6.7931179516509,8.05087664198061
9,"Empirical",1.50642055302073,1.80106438692158
10,"Distilled",3.53403451523453,4.19731988496615
10,"Empirical",1.2780315613556,1.60527963167194
11,"Distilled",2.25761417311462,2.73217392337035
11,"Empirical",1.89642854050583,2.27390703769194
12,"Distilled",5.40579469641664,6.59918673309466
12,"Empirical",12.584803532209,14.5547458085478
13,"Distilled",1.36751180327849,1.63208476307789
13,"Empirical",1.28612973059699,1.53141450665461
14,"Distilled",2.104447979691,2.49088780847484
14,"Empirical",1.91640446006661,2.3207290800337
15,"Distilled",3.27393994145948,4.1142109348325
15,"Empirical",1.32491332758917,2.03094698410983
16,"Distilled",3.07972651927547,3.81712845154896
16,"Empirical",1.23903506064571,2.37715105184446
17,"Distilled",1.41402500776118,1.71434599464095
17,"Empirical",1.36708781869224,1.59520382486615
18,"Distilled",1.84421450006233,2.2191784423973
18,"Empirical",1.30962652737551,1.62656945335188
19,"Distilled",3.3844505589055,3.59312202468901
19,"Empirical",1.54553870577709,1.83317485317781
20,"Distilled",1.63606933769254,2.00372686950081
20,"Empirical",1.44779920568053,1.70389830900662
21,"Distilled",1.8826635737408,2.21481221554174
21,"Empirical",1.68173030207693,2.11394923397258
22,"Distilled",1.49352730861875,1.79520338954775
22,"Empirical",2.55873808785108,3.24397668752761
23,"Distilled",5.46370353231679,6.1823186064044
23,"Empirical",3.96792264005627,4.56894807045185
24,"Distilled",1.7033957771763,1.97481560893091
24,"Empirical",1.26889313098558,1.59422399589925
25,"Distilled",5.56052433249973,7.66519202903352
25,"Empirical",1.86791479851541,2.51587068012939
26,"Distilled",1.45027848655914,1.71339911387802
26,"Empirical",2.92875424463138,3.36357703084045
27,"Distilled",2.34932765867039,2.65358296074438
27,"Empirical",1.63146854758216,1.77701237523967
28,"Distilled",1.87744446471101,2.19907205815699
28,"Empirical",1.59345102805966,1.87134398422393
29,"Distilled",1.9473582926219,2.24298015321755
29,"Empirical",1.86519606957895,2.2416271730686
30,"Distilled",1.87415152848016,2.45467160759867
30,"Empirical",1.81373274838891,2.21878137417312
31,"Distilled",2.96297860522497,3.72452024581057
31,"Empirical",2.01488521241552,2.21487528831239
32,"Distilled",2.12177980547913,2.54334832601618
32,"Empirical",3.04369101284947,3.56224477170498
33,"Distilled",1.4537034575965,1.62597675737126
33,"Empirical",1.39243925581672,1.62149563569242
34,"Distilled",1.94163334412965,2.15126745247367
34,"Empirical",1.42034789269095,1.74094358938114
35,"Distilled",1.74582348400497,2.06485690166619
35,"Empirical",1.41828955325014,1.651562635689
36,"Distilled",1.80124022863135,2.17692616552556
36,"Empirical",1.20972851934312,1.59181556338094
37,"Distilled",1.70137542706773,2.0500177029942
37,"Empirical",1.84580763453046,2.23409094021284
38,"Distilled",2.29442661698757,2.92720338550975
38,"Empirical",1.5862371184658,2.05270728184427
39,"Distilled",3.78291187235037,4.91554101559857
39,"Empirical",1.38178064660815,1.93250259621973
40,"Distilled",1.72076965751459,2.27653082160891
40,"Empirical",1.37467888830516,1.75929361474358
41,"Distilled",2.43737174396405,2.82191809511226
41,"Empirical",1.77929458564173,2.07888298751741
42,"Distilled",2.03856101694072,2.37692234280338
42,"Empirical",1.53019624024369,1.75034794541593
43,"Distilled",4.10706460539282,4.90862258226202
43,"Empirical",2.06533219219732,2.43684329765306
44,"Distilled",3.14791193174636,3.5438947124938
44,"Empirical",1.46789505785791,1.79061137546045
45,"Distilled",1.74586971938187,2.16410237479372
45,"Empirical",3.41976429355358,4.15266075831215
46,"Distilled",2.93098331405926,3.44855560752827
46,"Empirical",1.57564074963427,1.93535771038548
47,"Distilled",1.61311527013916,1.81503681888132
47,"Empirical",2.46407235469189,2.75798967997308
48,"Distilled",2.04176335055329,2.37003123741419
48,"Empirical",1.24095701649906,2.76158304655998
49,"Distilled",1.60145257499493,1.95676976789529
49,"Empirical",2.34488409832047,2.90606003865965
50,"Distilled",1.59106208676042,2.07355929945385
50,"Empirical",1.25737884820874,1.81983426262887
